candidate_id,predicted_score,reasoning
CAND_0093912,92.0,"Candidate CAND_0093912 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0095619,91.0,"Candidate CAND_0095619 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0040887,87.36,"Candidate CAND_0040887 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0036184,85.99,"Candidate CAND_0036184 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0066999,84.95,"Candidate CAND_0066999 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0039754,84.94,"Candidate CAND_0039754 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0046064,84.3,"Candidate CAND_0046064 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0061265,83.61,"Candidate CAND_0061265 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0013613,83.11,"Candidate CAND_0013613 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0027801,83.06,"Candidate CAND_0027801 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0080766,82.62,"Candidate CAND_0080766 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0037980,82.16,"Candidate CAND_0037980 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0046525,81.78,"Candidate CAND_0046525 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0037000,81.22,"Candidate CAND_0037000 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0086022,81.02,"Candidate CAND_0086022 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0005538,80.77,"Candidate CAND_0005538 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0037566,80.77,"Candidate CAND_0037566 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0015493,80.18,"Candidate CAND_0015493 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
