Feature Name,Missing %,Flag
years_exp,0.0,
experience_score,0.0,
skill_match_count,0.0,
skill_coverage,0.0,
title_score,0.0,
education_score,0.0,
location_score,0.0,
product_company_score,0.0,
product_company_years,0.0,
consulting_penalty,0.0,
consulting_company_years,0.0,
career_history_length,0.0,
current_role_matches_jd,0.0,
retrieval_score_old,0.0,
retrieval_count,0.0,
retrieval_present,0.0,
ranking_count,0.0,
ranking_present,0.0,
recommendation_count,0.0,
recommendation_present,0.0,
matching_count,0.0,
matching_present,0.0,
evaluation_count,0.0,
evaluation_present,0.0,
production_count,0.0,
production_present,0.0,
jd_core_score,0.0,
availability_score,0.0,
recruitability_score,0.0,
market_demand_score,0.0,
trust_score,0.0,
technical_credibility_score,0.0,
mobility_score,0.0,
days_since_active,0.0,
notice_period_days,0.0,
github_activity_score,0.0,
avg_assessment_score,0.0,
semantic_score,0.0,
career_semantic_score,0.0,
prod_ml_count,0.0,
monitoring_count,0.0,
infra_count,0.0,
mlops_count,0.0,
llm_wrapper_count,0.0,
prod_ml_present,0.0,
monitoring_present,0.0,
infra_present,0.0,
mlops_present,0.0,
production_ml_score,0.0,
production_depth_score,0.0,
wrapper_to_production_ratio,0.0,
ownership_count,0.0,
leadership_count,0.0,
architecture_count,0.0,
mentorship_count,0.0,
impact_count,0.0,
senior_title_flag,0.0,
executive_title_flag,0.0,
ownership_present,0.0,
leadership_present,0.0,
architecture_present,0.0,
mentorship_present,0.0,
impact_present,0.0,
ownership_score,0.0,
leadership_depth_score,0.0,
total_experience_years,0.0,
num_companies,0.0,
num_roles,0.0,
avg_tenure_months,0.0,
longest_tenure_months,0.0,
shortest_tenure_months,0.0,
job_hopping_score,0.0,
short_tenure_count,0.0,
very_short_tenure_count,0.0,
promotion_count,0.0,
promotion_velocity,0.0,
career_growth_score,0.0,
multi_year_company_count,0.0,
long_term_employment_ratio,0.0,
timeline_gap_count,0.0,
largest_gap_months,0.0,
career_stability_score,0.0,
timeline_quality_score,0.0,
startup_years,0.0,
product_years,0.0,
consulting_years,0.0,
bigtech_years,0.0,
startup_ratio,0.0,
product_ratio,0.0,
consulting_ratio,0.0,
bigtech_ratio,0.0,
company_type_switches,0.0,
company_diversity_score,0.0,
current_company_type,0.0,
num_skills,0.0,
skill_density,0.0,
role_density,0.0,
experience_gap_years,0.0,
experience_consistency_score,0.0,
skills_per_role,0.0,
timeline_consistency_score,0.0,
suspicion_score,0.0,
technical_leadership_score,0.0,
production_retrieval_score,0.0,
senior_production_score,0.0,
ownership_relevance_score,0.0,
stability_leadership_score,0.0,
seniority_relevance_score,0.0,
