candidate_id,sample_source,semantic_bucket,exp_bucket,role_family,labeling_set,labeling_batch,label_status,llm_provider,industry,current_role
CAND_0067779,stratified,Middle 50%,3-5 years,Search_IR,set_1,batch_1,unlabeled,,Manufacturing,HR Manager
CAND_0008352,stratified,Top 25%,8+ years,Non_Technical,set_1,batch_1,unlabeled,,IT Services,Marketing Manager
CAND_0083529,stratified,Middle 50%,3-5 years,Platform_MLOps,set_1,batch_1,unlabeled,,IT Services,Software Engineer
CAND_0094569,stratified,Bottom 25%,8+ years,NLP_LLM,set_1,batch_1,unlabeled,,Software,Business Analyst
CAND_0042711,stratified,Top 25%,0-3 years,Non_Technical,set_1,batch_1,unlabeled,,IT Services,HR Manager
CAND_0051718,stratified,Middle 50%,8+ years,NLP_LLM,set_1,batch_1,unlabeled,,Manufacturing,Accountant
CAND_0034428,stratified,Top 25%,5-8 years,Platform_MLOps,set_1,batch_1,unlabeled,,Software,Software Engineer
CAND_0073329,stratified,Bottom 25%,5-8 years,Search_IR,set_1,batch_1,unlabeled,,Software,Sales Executive
CAND_0091994,stratified,Top 25%,8+ years,Search_IR,set_1,batch_1,unlabeled,,Manufacturing,Graphic Designer
CAND_0068685,suspicious,,,Search_IR,set_1,batch_1,unlabeled,,Manufacturing,Accountant
CAND_0096430,stratified,Middle 50%,8+ years,Backend,set_1,batch_1,unlabeled,,IT Services,DevOps Engineer
CAND_0003095,stratified,Bottom 25%,8+ years,NLP_LLM,set_1,batch_1,unlabeled,,Manufacturing,Operations Manager
CAND_0024330,stratified,Top 25%,3-5 years,Search_IR,set_1,batch_1,unlabeled,,Software,Business Analyst
CAND_0063987,stratified,Top 25%,3-5 years,Analytics,set_1,batch_1,unlabeled,,IT Services,Business Analyst
CAND_0001095,elite,,,Search_IR,set_1,batch_1,unlabeled,,IT Services,Mechanical Engineer
CAND_0033754,stratified,Middle 50%,8+ years,NLP_LLM,set_1,batch_1,unlabeled,,Fintech,Full Stack Developer
CAND_0096504,stratified,Top 25%,0-3 years,Analytics,set_1,batch_1,unlabeled,,Manufacturing,Business Analyst
CAND_0027042,stratified,Bottom 25%,8+ years,NLP_LLM,set_1,batch_1,unlabeled,,Software,HR Manager
CAND_0086541,stratified,Top 25%,8+ years,NLP_LLM,set_1,batch_1,unlabeled,,Manufacturing,Business Analyst
CAND_0029119,elite,,,Search_IR,set_1,batch_1,unlabeled,,Paper Products,Mechanical Engineer
CAND_0082335,stratified,Top 25%,0-3 years,Backend,set_1,batch_1,unlabeled,,IT Services,Software Engineer
CAND_0080477,stratified,Middle 50%,3-5 years,NLP_LLM,set_1,batch_1,unlabeled,,Paper Products,Java Developer
CAND_0013822,stratified,Bottom 25%,8+ years,Platform_MLOps,set_1,batch_1,unlabeled,,IT Services,Full Stack Developer
CAND_0096707,stratified,Bottom 25%,8+ years,Search_IR,set_1,batch_1,unlabeled,,Software,Customer Support
CAND_0041679,stratified,Middle 50%,8+ years,Search_IR,set_1,batch_1,unlabeled,,IT Services,Civil Engineer
CAND_0033211,stratified,Middle 50%,8+ years,NLP_LLM,set_1,batch_1,unlabeled,,IT Services,Software Engineer
CAND_0047344,stratified,Middle 50%,0-3 years,Non_Technical,set_1,batch_1,unlabeled,,Manufacturing,Accountant
CAND_0036837,stratified,Top 25%,8+ years,Analytics,set_1,batch_1,unlabeled,,Manufacturing,Graphic Designer
CAND_0064066,stratified,Top 25%,3-5 years,Backend,set_1,batch_1,unlabeled,,Food Delivery,Software Engineer
CAND_0072563,stratified,Middle 50%,8+ years,NLP_LLM,set_1,batch_1,unlabeled,,Software,Business Analyst
CAND_0019700,stratified,Middle 50%,5-8 years,NLP_LLM,set_1,batch_1,unlabeled,,Manufacturing,Project Manager
CAND_0015941,stratified,Middle 50%,5-8 years,Non_Technical,set_1,batch_1,unlabeled,,IT Services,Operations Manager
CAND_0071385,stratified,Bottom 25%,3-5 years,Analytics,set_1,batch_1,unlabeled,,IT Services,Data Analyst
CAND_0071060,stratified,Top 25%,8+ years,Search_IR,set_1,batch_1,unlabeled,,Manufacturing,Accountant
CAND_0015188,suspicious,,,Search_IR,set_1,batch_1,unlabeled,,IT Services,Graphic Designer
CAND_0024288,suspicious,,,Search_IR,set_1,batch_1,unlabeled,,Manufacturing,HR Manager
CAND_0012364,stratified,Top 25%,8+ years,Search_IR,set_1,batch_1,unlabeled,,IT Services,Civil Engineer
CAND_0016932,stratified,Middle 50%,5-8 years,Data_Science,set_1,batch_1,unlabeled,,EdTech,Senior Software Engineer
CAND_0094653,stratified,Middle 50%,3-5 years,Analytics,set_1,batch_1,unlabeled,,Manufacturing,Business Analyst
CAND_0043800,elite,,,Search_IR,set_1,batch_1,unlabeled,,IT Services,HR Manager
CAND_0051413,stratified,Middle 50%,8+ years,Platform_MLOps,set_1,batch_1,unlabeled,,Fintech,Java Developer
CAND_0040113,stratified,Bottom 25%,5-8 years,Search_IR,set_1,batch_1,unlabeled,,Fintech,Data Analyst
CAND_0012643,stratified,Middle 50%,0-3 years,Backend,set_1,batch_1,unlabeled,,Consulting,Frontend Engineer
CAND_0080511,stratified,Bottom 25%,3-5 years,NLP_LLM,set_1,batch_1,unlabeled,,Manufacturing,Customer Support
CAND_0028172,stratified,Top 25%,8+ years,Search_IR,set_1,batch_1,unlabeled,,Software,Project Manager
CAND_0036701,suspicious,,,Search_IR,set_1,batch_1,unlabeled,,IT Services,Accountant
CAND_0066908,suspicious,,,Search_IR,set_1,batch_1,unlabeled,,Manufacturing,Customer Support
CAND_0036942,suspicious,,,Search_IR,set_1,batch_1,unlabeled,,Software,Operations Manager
CAND_0092630,stratified,Bottom 25%,3-5 years,Search_IR,set_1,batch_1,unlabeled,,Paper Products,Operations Manager
CAND_0074594,stratified,Middle 50%,3-5 years,Non_Technical,set_1,batch_1,unlabeled,,IT Services,Marketing Manager
CAND_0084736,stratified,Bottom 25%,8+ years,Search_IR,set_1,batch_1,unlabeled,,Software,Content Writer
CAND_0044240,stratified,Middle 50%,5-8 years,Platform_MLOps,set_1,batch_1,unlabeled,,Paper Products,DevOps Engineer
CAND_0063374,stratified,Middle 50%,5-8 years,Search_IR,set_1,batch_1,unlabeled,,Software,Project Manager
CAND_0025255,stratified,Middle 50%,5-8 years,NLP_LLM,set_1,batch_1,unlabeled,,Paper Products,Mechanical Engineer
CAND_0028897,stratified,Middle 50%,8+ years,NLP_LLM,set_1,batch_1,unlabeled,,Software,Accountant
